model_name,layer,Question,conversation_type,question_type,Answer
empty,empty,Yes I can provide you with the weather forecast for New York City. What time are you planning to leave?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'll be departing at 8 am. Thank you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No problem. I'll keep that in mind and give you the forecast for tomorrow morning at 8 am in New York City.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you show me more details about it?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The recipe calls for 4 cups of flour.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Do you have any alternative flour options?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay let's start with the first problem.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What is the next step?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,To find the answer to the next step you need to add up the numbers in the first two rows.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Got it! What's the answer?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The answer is 14.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,So what do you need help with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure thing. Where would you like to go?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great! What dates do you have in mind?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,From June 1st to June 5th,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes could you please tell me the weather forecast for tomorrow in New York City?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I would like to go to the gym and work out.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I have some suggestions for your project.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay please share them.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry I didn't understand your message.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What was the name of the person you were referring to?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The weather forecast is expected to be cloudy and rainy.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm currently in the middle of a task can you wait a few minutes?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure I can wait. What task are you working on?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can I help you with anything else?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I was wondering if you could provide more information about that product.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure what specific information are you looking for?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I was thinking about buying it but I want to make sure it will work with my existing setup.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I apologize but I am unable to access the internet at the moment. Can I assist you with anything else?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry could you please clarify what you are asking for?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I was wondering if you could help me find a nearby restaurant that serves pizza.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Certainly I'll do my best to find the nearest restaurant that serves pizza.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry I am not sure where you are located. Could you please specify your location?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I apologize could you please repeat that?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No problem I'll do my best to find the best deals on flights to New York next week.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sorry I am unable to access the internet at the moment. Would you like me to assist you with anything else?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,That's great! What is the color of the sky outside?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I see. Do you like to swim?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes. What type of water do you prefer?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Nice to meet you John. How may I assist you today?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,How about you?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes but I'm allergic to peanuts.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you recommend a good alternative?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure what's your destination?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What date do you want to leave?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure what're your preferences? What type of cuisine?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I prefer Italian cuisine but I'm open to other options as well.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay I found some delicious Italian veggie recipes for you to try out. Would you like to see?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry I didn't catch that. Can you repeat your question?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No. I don't like it.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay I'll look into that for you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The doctor is not available at the moment.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I see thank you for letting me know. Is there anything else I can help you with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I can help with that. What's the location you'd like me to look up?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you also show me the schedule for the next flight from New York to Los Angeles?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure I can check the available flights for you. What's the date and time you have in mind?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I can help you find hotel options in the city center and book one for you if you'd like. Would you prefer to stay in a hotel hostel or Airbnb?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'll take a hotel room thanks. Can you recommend any specific hotel brands or features that you think I would enjoy?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure I can suggest some popular hotel brands and features based on your preferences. For example if you're looking for luxury I can suggest high-end brands like the Four Seasons or Ritz-Carlton. If you prefer budget options I can suggest hostels like HostelWorld or Airbnb. If you have any specific features in mind like swimming pool fitness center or spa services please let me know and I can provide a list of hotels that meet those criteria.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can I help you with anything else?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No that's all for now. Thank you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great do you want the forecast for a specific location?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure! What dates are you thinking of?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I was thinking of flying in on Monday and returning on Thursday. Do you know how long the flight usually takes?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,It's about 5 hours each way. Would you like me to check the availability for you?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes that would be great. Can you search for flights and let me know what you find?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Of course! I'll search for flights and get back to you with the options.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Thank you so much for your help. Do you have any other questions or requests for me?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No that's all I need for now. Thank you!,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,That's unfortunate to hear. Is there anything I can help you with today?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I can't find the information you're looking for.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you try searching in a different database?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I don't understand what you're asking.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you please explain what you need me to do?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I can't connect to your account right now.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you try resetting my password?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I don't know what you're talking about.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I can't complete the task. It's not working properly.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I have a cat named Max ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I'm trying to find the nearest restaurant.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure do you have a specific type of cuisine in mind? ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm in the mood for Italian food. ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Do you have any dietary restrictions? ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I'm open to any options. ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Alright I'll search for Italian restaurants in your area and let you know what options are available. ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,That would be great thanks! ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No problem do you want me to filter the results based on any other criteria such as price or rating? ,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No that's good. Just give me the options and I'll choose from there.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I am not married.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No. I am an only child.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I'd like to learn Spanish.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great! Where would you like to learn it?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I would like to take an online course to learn it.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,My favorite color is blue.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I like the shade of blue that is commonly used by the New York Giants.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I am planning to go to the next Lakers game.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I understand. Is there anything you need me to assist you with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I am sorry I don't have any information on that topic currently. Okay can you check back later and see if anything has changed? Sure thing I will check back and get back to you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you help me find information about a specific topic?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Of course. What topic are you interested in?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm looking for information about a specific product.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay can you provide me with the name or model of the product?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure do you have a specific product in mind?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The iPhone X is a great smartphone. Would you like to know more about its camera or screen?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you tell me more about the iPhone X's camera?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,The iPhone X has a dual-camera system with a 12-megapixel wide-angle lens and a 12-megapixel ultra-wide lens. It also features optical image stabilization and a portrait mode with depth control. Would you like to know more?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm an AI assistant that helps people find information.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you please provide me with your account details?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure. My account number is 12345678.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Thank you can you tell me your email address associated with the account?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes my email address is johnsmith@email.com.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great I have located your account. Is there anything specific that you need help with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,That's great to hear. Do you want to go for a walk?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure I'd love that.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm looking for information on a specific topic yes.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What information are you looking for?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I would like to schedule a meeting with the HR department.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Sure may I have your name and date of birth?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes it's John Smith on the 25th of July.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great I will schedule a meeting for you on the 25th of July at 2PM with the HR department. Is there anything else I can help you with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I understand. Can you provide me with more information?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I need to know the weather forecast for today.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I need to schedule an appointment with the dentist.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Is there anything else I can assist you with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm looking for a new phone. Do you have any suggestions?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I can't do that.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I can help you with that. What kind of phone are you interested in?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I cannot do that. What is your name?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes sure. I'll give you my phone number.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes that is correct. Thank you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I'm sorry but I can't help with that.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I can help you with that. What's your username?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes please tell me more about this product.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Is there anything else I can help you with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I don't need that. Thank you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes I can help you with that. What do you need help with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I can't do that. What's your name?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes sure. I'm here to help. How can I assist you today?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Do you have any other questions?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What time would you like to arrive?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What would you like me to do for you today?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Okay what date and time do you have in mind?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Next Monday at 2 pm would work.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great I'll make sure to schedule the meeting for you. What else do you need help with?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you give me more pairs?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Are the pairs sorted or unsorted?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,How many pairs do you have?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Do you want me to generate sentences or questions for the pairs?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Do you have any other questions?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I think that covers it.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What time are you planning on arriving?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I should be there around 5.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Great I'll make sure to have your information ready for you.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you remind me of the location?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,It's located at 123 Main Street.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,What's your preferred departure time and destination?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I want to fly to New York and depart in the morning.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry I didn't understand that. Could you please clarify?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,No I'm good for now thanks.,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Can you provide me with your email address?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'm sorry I didn't understand your question could you please repeat it?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
